diet_group,sex,age_group,mean_ghgs,mean_land,mean_watscar,mean_eut,mean_ghgs_ch4,mean_ghgs_n2o,mean_bio,mean_watuse,mean_acid
fish,female,20-29,4.902947125081,6.489030806882,17131.963351906,20.98546417884,0.842863531942,0.32248610693799995,248.13521166088,759.2372105686,22.77095614381
fish,female,30-39,4.942664483793,6.515886259015,17652.628539581,20.94844234705,0.836500414364,0.321970771612,249.82768412553,759.6296132108,23.25777137329
fish,female,40-49,4.927040172677,6.540681894736,17729.964755823003,20.71379812245,0.841105793907,0.320413037196,252.8469224143,748.4887548866,23.47016991168
fish,female,50-59,4.9443203337909996,6.566172011315,18446.193258613002,20.98928406101,0.8348812859450001,0.323892204601,246.78991162713,788.9322758300999,23.65247351582
fish,female,60-69,5.103822518681,6.86663521717,18922.366830963998,21.5693218284,0.8796700116770001,0.336023122898,258.6457589212,819.8566042607,24.45523960965
fish,female,70-79,4.990762890714,6.874727609523,18969.983047527,21.031888714150003,0.856399301444,0.339623117706,259.3465740337,798.6883514766,23.79125870694
fish,male,20-29,5.659688871226,7.381889374139,19671.024653972,24.16296423136,0.925972458962,0.366328778242,273.61230867980004,860.9797440421,26.07889770118
fish,male,30-39,5.327205952942,6.977105921564,18953.095158366,22.64406376393,0.854536975955,0.343782185164,262.36083815800004,818.7127748626,24.7101459431
fish,male,40-49,5.2018026093489995,6.890941560395,18288.937588674,21.83736510336,0.8449882635679999,0.334051387364,258.0881295996,782.1927528884,24.0201797372
fish,male,50-59,5.142355789303,6.693609079474,18449.190579349,21.6210952687,0.834246073905,0.330226228599,253.04056564409998,792.1768306865999,24.15116507942
fish,male,60-69,5.153826680613,7.048903698705001,18767.057425435,21.62918783632,0.86562521819,0.34316584900499997,259.6548954935,799.0613245367,24.00580233145
fish,male,70-79,5.303953641929,7.391856969142,19804.958474144,22.634509940759997,0.901249895287,0.35798155040199997,265.89959333810003,854.7060662992001,24.857307577700002
